,id,is_tv_subscriber,is_movie_package_subscriber,subscription_age,bill_avg,reamining_contract,service_failure_count,download_avg,upload_avg,download_over_limit,churn
69269,1620026,1,1,0.18,18,1.79,0,48.1,3.5,0,0
64912,1521710,1,1,0.64,15,1.33,0,38.3,1.8,0,0
10970,256468,1,0,1.05,16,0.0,0,0.0,0.0,0,1
8626,200439,1,1,5.62,19,0.0,0,17.9,0.5,0,1
60701,1423321,1,0,0.61,8,0.0,0,27.3,1.4,0,1
40241,941755,1,0,1.91,13,0.0,2,103.3,12.4,0,1
40447,946627,1,1,3.16,40,1.24,0,101.8,4.7,0,0
71384,1669517,1,1,0.04,5,1.93,0,,,0,0
55848,1307519,1,0,1.45,20,1.73,0,25.0,4.1,0,0
31829,747470,0,0,1.97,24,0.0,0,74.7,6.9,0,1
70178,1640912,1,1,0.12,65,1.85,0,235.9,29.5,0,0
31687,744066,1,0,4.49,20,1.58,0,48.4,3.6,0,0
64862,1520516,1,1,0.48,20,0.4,1,10.8,0.2,0,1
58211,1363556,1,0,1.17,14,0.8,0,27.4,3.0,0,0
47325,1109645,1,1,2.42,22,1.49,1,68.7,14.2,0,0
16987,397219,0,0,0.85,18,0.0,0,0.0,0.0,0,1
64647,1516011,1,1,1.32,11,1.06,1,10.3,0.5,0,1
38585,904966,1,1,2.14,19,0.0,0,20.4,1.2,0,1
47007,1101638,1,0,2.47,22,1.44,0,95.1,9.3,0,0
40385,945253,1,1,3.17,18,1.71,0,53.3,4.7,0,0
8611,200222,1,0,5.02,27,,0,25.2,1.3,0,1
42,933,1,0,5.3,79,,2,0.0,0.0,0,1
61013,1430939,1,0,0.97,14,1.01,2,77.3,4.8,0,0
33861,794917,1,0,0.13,10,0.0,0,1.2,0.1,0,1
44088,1032844,1,0,2.86,12,1.08,0,66.7,4.6,0,0
46862,1097847,0,0,2.07,48,,0,57.6,10.8,0,1
15065,350444,1,1,6.57,10,1.08,6,88.7,8.6,0,0
13005,302554,1,1,6.8,21,0.47,0,45.7,3.1,0,0
9760,227470,1,0,7.07,22,0.05,0,44.8,2.5,0,0
67831,1587374,1,1,0.32,11,0.32,0,101.8,26.5,0,0
34676,814678,1,1,4.04,23,1.35,0,65.5,6.0,0,0
31047,728356,1,0,4.63,12,0.87,2,47.9,3.2,0,0
14920,347040,0,0,6.58,20,,0,30.5,1.6,0,0
8838,205290,1,1,7.16,19,1.92,0,117.1,8.0,0,0
38351,899135,1,0,2.44,28,,0,16.2,3.1,0,1
50514,1184093,0,0,2.55,49,,1,279.6,13.4,0,1
33759,792506,1,0,1.98,22,,0,32.1,2.0,0,1
40046,937087,1,1,3.2,12,0.29,0,36.5,4.1,0,0
18824,440508,1,0,3.02,24,,0,6.2,0.6,0,1
41469,970893,1,1,3.07,22,0.87,0,12.3,1.1,0,0
25484,597742,1,0,3.63,80,,0,169.6,12.3,0,1
3622,82517,1,0,5.11,21,0.0,0,72.7,7.8,0,1
7163,166047,1,0,5.18,10,,0,3.3,0.7,6,1
8243,191583,0,0,2.61,18,,0,18.1,2.7,0,1
53823,1261067,1,0,2.27,15,1.38,0,41.7,9.2,0,1
12552,292209,0,0,6.83,25,0.36,0,50.5,3.3,0,0
12855,299318,1,0,4.04,13,,0,11.0,1.6,0,1
68474,1601678,1,0,0.26,0,1.96,0,12.7,5.4,0,0
26886,630228,0,0,1.57,16,0.0,2,13.1,0.7,0,1
24054,564300,0,0,0.0,0,,0,0.0,0.0,0,1
13309,309696,1,0,4.0,5,0.0,0,2.0,0.2,0,1
60432,1416366,1,0,1.02,22,0.61,0,33.2,6.2,0,0
65923,1543544,1,1,0.55,24,0.78,0,78.8,9.0,0,0
9708,226086,1,1,2.28,23,,0,0.0,0.0,0,1
14142,328672,1,0,1.07,21,0.02,0,0.0,0.0,0,1
51052,1197496,1,1,2.01,38,1.93,0,149.7,6.9,0,0
43043,1008410,1,0,2.94,12,1.01,0,82.0,4.0,0,0
9280,215508,1,1,6.84,17,,0,20.9,2.4,0,1
58242,1364261,1,0,1.17,20,0.8,0,21.7,4.9,0,0
30463,714239,1,1,4.73,24,,0,184.9,12.8,0,0
51636,1210967,1,0,1.96,20,1.49,0,76.2,7.9,5,0
52497,1230850,1,0,1.87,12,0.9,0,52.4,3.9,0,0
6345,146580,1,0,8.05,0,,0,0.0,0.0,0,1
5008,114835,1,1,8.63,15,1.54,0,144.3,5.2,0,1
39639,928129,1,0,0.05,11,0.0,0,3.6,0.5,0,1
11394,266152,0,0,1.52,0,0.0,1,0.0,0.0,0,1
13570,315932,1,0,2.98,21,,0,1.8,0.1,0,1
2937,67212,1,0,6.25,29,,6,117.8,17.5,0,1
57608,1349192,1,0,1.22,14,0.75,0,67.7,30.2,0,0
36349,853118,1,1,4.54,30,,2,62.7,3.4,0,1
64566,1513806,1,0,0.67,17,1.7,1,1.7,3.3,0,0
39447,924245,1,0,3.27,21,0.11,0,94.1,8.4,0,0
45170,1058381,1,0,2.73,25,0.37,0,67.1,5.3,0,0
27504,644893,1,0,1.97,24,0.0,0,0.0,0.0,0,1
14062,326968,1,1,6.68,25,0.05,0,12.5,0.6,0,0
9906,230882,0,0,2.16,18,,0,0.0,0.0,0,1
2568,59069,1,1,8.52,22,1.74,0,130.6,13.3,0,0
16138,376746,0,0,0.72,21,0.0,0,0.0,0.0,0,1
39896,933759,1,1,3.22,24,0.71,0,32.4,4.2,0,0
58708,1375740,1,1,1.18,9,0.0,1,61.6,5.9,0,1
24663,578399,1,1,5.72,26,1.25,0,30.5,2.9,0,0
25972,609260,1,0,0.96,23,,0,1.1,0.1,0,1
35030,822975,1,0,3.99,21,0.34,0,33.1,7.6,0,0
72260,1689456,1,0,0.01,3,1.96,1,0.0,0.0,0,1
54933,1286324,1,0,1.58,13,0.39,0,19.7,2.6,0,0
10,166,1,1,8.44,17,0.0,0,9.9,1.1,0,1
69388,1623083,1,1,0.17,15,1.8,0,55.3,1.2,0,0
54229,1270334,1,0,0.39,17,0.0,0,30.6,0.9,0,1
49771,1168326,1,0,0.05,1,0.0,0,44.0,1.9,0,1
49611,1164330,1,0,2.14,20,1.63,0,145.8,9.9,0,0
9836,229259,1,1,7.06,28,1.36,0,33.3,2.7,0,0
18398,429992,1,1,2.1,21,,0,8.6,0.5,0,1
35118,825126,1,0,3.95,22,,0,0.0,0.0,0,1
71205,1665232,1,0,0.06,5,1.35,0,2.7,0.1,0,0
5147,118262,1,1,6.02,23,,0,0.0,0.0,0,1
258,5896,0,0,11.92,59,,0,,,0,0
51286,1202804,1,0,1.99,21,0.39,2,99.7,8.4,0,0
19754,461953,0,0,2.07,0,,0,0.0,0.0,0,1
22455,525983,0,0,0.66,21,0.0,0,0.0,0.0,0,1
36,831,0,0,5.44,18,,0,0.0,0.0,0,1
48830,1145671,1,1,2.22,16,,0,43.5,3.2,0,0
34893,819690,1,1,3.17,22,0.0,0,12.5,0.5,0,1
22253,521324,1,0,0.06,13,0.0,0,0.0,0.0,0,1
70247,1642681,1,1,0.12,8,1.85,0,60.0,6.7,0,0
59632,1397226,1,0,1.23,13,0.26,0,44.0,3.1,0,1
23132,542706,1,0,2.24,18,,0,0.0,0.0,0,1
36970,866546,1,1,0.39,11,0.0,0,10.4,0.5,0,1
49359,1158137,0,0,2.17,20,,0,22.5,1.9,0,0
22191,519626,1,0,5.96,22,0.62,0,44.6,2.6,0,0
31234,732800,1,1,4.59,12,0.4,0,36.3,3.5,0,0
14514,337361,1,0,6.62,22,1.03,1,140.7,19.0,0,0
22963,538807,1,1,5.9,19,0.58,0,43.6,2.6,0,0
71810,1679712,0,0,0.0,0,1.97,0,,,0,0
5829,134344,1,1,2.04,24,,1,0.0,0.0,0,1
55475,1298897,1,0,1.5,21,1.26,0,38.5,1.1,0,0
31635,743038,1,0,2.74,17,0.0,1,37.6,2.3,0,1
38035,891859,1,1,2.83,12,0.0,2,29.7,3.1,0,1
32794,770265,1,0,4.28,21,0.2,0,7.3,0.5,0,0
59514,1394001,1,0,1.08,20,0.89,0,47.4,2.2,0,0
14943,347623,1,0,1.38,23,0.0,0,0.0,0.0,0,1
49577,1163548,1,0,1.76,6,0.0,0,18.2,2.4,0,1
68868,1610606,1,0,0.22,0,1.99,2,36.0,0.6,0,0
11275,263499,1,0,3.03,22,,0,16.1,3.2,0,1
33286,781643,1,0,0.99,18,0.0,0,22.8,2.9,0,1
32150,754862,0,0,1.18,56,,0,2.3,0.4,0,1
72029,1684605,1,1,0.61,30,0.03,0,40.7,2.4,0,1
44412,1040184,1,0,2.82,20,1.1,0,12.1,0.5,0,0
32548,763953,0,0,1.55,6,,0,6.5,0.6,4,1
9768,227732,1,1,7.06,112,,0,188.8,7.0,0,0
67815,1587067,1,1,0.32,11,1.65,0,66.5,6.8,0,0
19959,466856,1,0,2.33,22,,0,7.2,1.0,0,1
59252,1388573,1,0,1.1,22,0.88,0,53.8,5.1,0,0
43395,1017067,1,0,2.9,12,1.05,0,23.1,1.5,0,0
28095,658535,1,0,1.09,0,0.0,0,8.7,0.7,0,1
18162,424134,1,0,2.85,18,,0,4.4,0.3,0,1
41007,960164,1,0,3.12,22,0.82,0,25.1,2.6,0,0
45475,1066536,1,1,2.68,10,1.24,0,62.4,5.0,0,0
1525,35379,1,1,9.05,26,1.28,0,93.3,7.0,0,0
29248,685455,1,1,4.68,19,0.0,1,14.4,0.4,0,1
49080,1152194,1,1,2.19,8,,0,14.3,1.1,0,0
46841,1097558,1,0,0.19,26,,0,28.4,1.3,0,1
37579,880907,1,0,0.77,26,0.0,0,18.6,1.4,0,1
51630,1210883,1,0,2.01,8,,1,7.3,1.6,0,1
14690,341448,1,0,2.01,21,,1,1.7,0.9,0,1
69934,1635728,1,1,0.77,25,1.64,0,140.7,9.6,0,1
55328,1295712,1,1,0.58,12,0.0,0,77.8,5.9,0,1
6606,152296,1,1,7.63,17,1.85,0,86.9,6.3,0,0
10918,255231,1,0,6.95,22,0.98,2,40.0,2.8,0,0
52111,1222331,0,0,1.0,28,,0,50.9,2.3,0,1
65773,1540196,1,1,0.56,22,1.41,0,27.4,2.5,0,0
20103,469893,1,0,2.64,41,,3,18.6,0.7,0,1
41556,973194,1,1,3.0,28,0.0,1,58.5,12.8,0,1
59351,1390805,1,0,1.09,14,0.88,0,6.0,0.5,0,0
30501,714985,1,1,4.73,10,1.29,0,117.9,13.3,0,0
67733,1585083,1,0,0.33,0,2.14,0,18.6,0.6,0,0
62911,1475549,1,1,0.81,24,1.16,0,156.3,17.9,0,0
43121,1010440,1,0,2.89,30,,0,17.3,0.5,0,1
44991,1054134,1,0,2.75,20,1.01,0,41.6,2.7,0,0
56014,1311151,1,0,1.43,13,0.48,0,104.2,5.0,0,0
68744,1607639,0,0,0.24,31,1.74,0,66.2,1.6,0,0
43791,1026253,1,0,0.68,17,0.0,0,8.9,0.5,0,1
43017,1007586,1,0,0.9,13,0.0,0,49.0,1.8,0,1
68219,1595792,1,0,0.28,10,0.58,0,13.8,1.3,0,0
40837,956255,1,0,0.23,12,0.0,0,39.3,82.1,0,1
15649,365909,1,0,1.91,21,0.0,0,4.9,0.3,0,1
4540,103699,0,0,1.69,0,,0,0.0,0.0,0,1
37140,870515,1,1,3.12,12,0.0,0,85.3,4.5,0,1
14044,326611,1,0,4.51,19,0.0,1,28.2,2.9,0,1
49873,1170473,1,1,1.97,44,0.0,0,62.3,30.5,0,1
15230,354919,1,0,0.67,24,0.01,0,0.0,0.0,0,1
659,15362,0,0,5.56,23,,5,41.8,7.9,0,1
70245,1642592,1,0,0.12,9,1.85,0,25.3,1.4,0,0
70244,1642575,1,1,0.12,13,1.85,0,17.9,0.7,0,0
67534,1580785,1,0,0.35,19,1.62,0,114.3,8.8,0,0
13409,312028,0,0,0.6,18,0.0,0,0.0,0.0,1,1
26489,621093,0,0,1.26,16,0.0,0,3.1,0.2,0,1
3784,86506,1,1,1.53,13,,0,0.0,0.0,0,1
42982,1006923,1,0,1.96,22,0.0,0,46.8,2.1,0,1
63383,1485968,1,1,0.78,15,1.2,3,43.9,4.7,0,0
35197,826956,1,1,3.93,20,0.0,0,17.2,1.3,0,1
30792,721867,0,0,4.68,24,,0,104.5,8.1,0,0
7210,167044,1,1,7.45,15,1.34,0,19.9,2.4,0,0
6386,147514,1,0,3.83,0,,0,2.3,0.5,5,1
18023,421246,1,0,2.09,14,,0,0.7,0.0,0,1
62427,1463668,1,0,0.86,21,0.21,0,70.2,3.2,0,0
58722,1376091,1,0,1.13,20,0.85,1,58.8,2.8,0,0
35973,844171,1,0,1.76,29,0.0,0,5.7,0.5,0,1
11929,277349,1,0,3.09,22,,0,7.3,1.1,0,1
64974,1522877,1,0,0.64,20,1.34,0,20.4,1.3,0,0
40479,947443,1,0,3.22,24,,0,41.9,8.5,0,1
15476,361372,1,0,1.25,20,0.0,0,0.0,0.0,0,1
59406,1391889,1,0,1.09,14,0.88,0,82.7,4.8,0,0
38376,899840,1,1,3.45,24,1.45,3,100.4,20.8,2,0
17495,409103,1,0,2.7,14,0.0,0,11.1,1.5,0,1
21850,511523,1,0,1.16,36,0.0,2,0.0,0.0,0,1
18884,441827,1,0,2.62,14,0.0,0,16.2,3.0,0,1
60841,1426428,1,0,0.98,14,0.99,0,18.4,1.4,0,0
37910,888786,1,1,3.55,15,1.35,0,38.3,1.9,0,0
34487,810153,1,1,4.05,18,1.84,0,58.2,5.4,0,0
36720,861111,1,0,3.75,21,0.22,0,18.2,3.9,0,0
10136,236628,1,0,2.89,23,,0,7.0,2.0,0,1
20591,480665,1,0,0.57,47,,0,0.0,0.0,0,1
42462,994773,1,0,2.99,12,1.1,0,69.9,2.9,0,0
46682,1094009,1,0,1.3,13,,0,19.3,1.1,0,1
28437,666405,0,0,0.4,31,0.0,1,29.6,3.4,0,1
71890,1681517,1,1,0.68,24,1.3,0,25.3,1.1,0,1
21755,509546,1,0,1.96,23,0.0,0,0.3,0.0,0,1
15347,358125,1,0,2.76,24,,0,12.8,1.9,0,1
42117,986089,1,0,3.02,12,0.93,0,65.0,4.1,0,0
17057,398700,1,1,6.32,27,,0,0.0,0.0,0,1
940,21509,1,0,3.35,73,,4,0.0,0.0,0,1
6441,148661,1,0,5.22,21,,2,7.0,1.1,0,1
22,550,0,0,8.53,0,,0,0.0,0.0,0,1
38817,910483,1,0,1.97,30,0.0,0,40.0,4.7,0,1
67282,1575154,1,1,0.38,11,1.59,0,53.0,2.4,0,0
65961,1544391,1,1,1.3,14,0.67,0,107.3,5.3,0,1
11283,263763,1,1,6.91,22,0.02,0,1.7,0.1,0,0
44405,1040051,1,1,2.82,10,1.1,1,18.1,1.9,0,0
7252,168077,0,0,2.93,13,,0,2.4,0.5,0,1
6565,151495,1,0,6.81,25,,0,43.5,4.4,0,1
27768,650969,1,1,5.15,28,,0,111.3,17.6,0,0
54618,1279802,1,0,1.61,13,0.31,0,4.0,0.9,0,0
3053,70058,0,0,3.86,22,,1,5.7,1.2,0,1
13080,304231,1,1,6.79,10,1.41,0,82.1,5.8,0,0
30114,705731,1,0,2.39,24,,0,16.6,1.3,0,1
56060,1312011,1,0,1.42,21,0.55,0,150.0,10.5,0,0
64094,1502760,1,1,0.71,22,1.26,0,3.6,0.4,0,0
28161,659960,1,0,1.88,12,0.0,0,0.0,0.0,0,1
10270,239727,1,1,2.9,0,,0,1.4,0.1,2,1
69687,1630249,1,1,0.15,20,1.82,0,97.3,2.6,0,0
28605,669828,1,1,5.05,21,0.21,0,36.1,3.9,0,0
22470,526286,1,1,5.94,14,0.13,0,60.9,4.4,0,0
56518,1322041,0,0,0.0,0,0.0,0,0.0,0.0,0,1
29640,694765,1,0,3.36,19,0.0,0,98.4,3.9,0,1
53773,1259975,1,1,1.72,12,0.25,1,19.3,2.6,0,0
50303,1179912,0,0,0.0,0,0.0,0,0.0,0.0,0,1
37964,890105,1,1,3.53,21,0.36,0,68.9,5.7,0,0
69023,1614194,1,0,0.21,10,1.35,0,31.3,5.5,0,0
34101,800734,1,0,2.01,26,,0,88.4,9.8,0,1
26104,612107,1,0,1.49,14,0.0,2,7.8,1.2,0,1
59148,1386111,1,1,1.53,20,0.6,0,95.4,10.9,0,1
25097,588422,0,0,0.88,21,,0,0.0,0.0,0,1
47091,1103530,1,1,2.46,19,1.49,0,163.8,14.6,0,0
48738,1143504,1,0,0.75,22,0.0,0,28.2,1.2,0,1
6067,139934,1,1,7.71,21,0.28,0,40.2,3.9,0,0
55331,1295742,1,1,1.54,17,0.34,1,41.7,3.7,0,1
36094,846907,1,1,2.07,19,0.0,0,37.6,2.2,0,1
42508,995891,1,0,3.5,11,0.45,0,7.3,6.3,0,1
2200,51037,1,1,8.65,8,1.36,0,2.8,0.5,0,0
10741,250967,1,1,6.96,21,0.26,0,9.0,1.0,0,0
52583,1232674,1,1,1.86,20,0.08,0,29.7,1.8,0,0
47815,1121100,0,0,1.51,20,0.0,0,69.1,2.8,0,1
12137,281601,1,1,2.29,20,,0,4.5,1.5,0,1
17891,417869,1,0,4.65,19,,0,1.6,0.2,0,1
32436,761204,1,0,3.46,30,0.0,0,37.1,7.4,0,1
48182,1129732,1,1,2.31,20,1.78,0,8.2,0.4,0,0
18876,441637,1,1,1.76,31,0.0,0,18.0,3.2,0,1
14134,328541,1,0,5.44,11,,0,27.6,1.8,7,1
187,4263,0,0,12.61,0,,0,0.0,0.0,0,1
67894,1588776,1,1,0.31,20,1.66,0,34.0,3.3,0,0
27443,643660,1,0,1.62,22,,1,20.8,1.8,0,1
8359,194633,1,0,1.98,21,,3,0.0,0.0,0,1
51223,1201435,1,0,2.0,12,1.95,0,21.1,2.7,0,0
52092,1221843,1,0,1.91,14,0.07,0,43.0,2.6,0,0
18780,439604,1,0,6.24,22,0.69,0,136.5,7.7,0,0
44757,1048844,1,0,0.55,12,0.0,0,29.6,0.7,0,1
60697,1423262,1,0,1.67,19,0.3,0,17.3,2.1,0,1
40512,948180,1,0,3.16,12,0.79,1,322.4,13.1,0,0
6723,155289,1,0,1.3,0,0.0,0,0.0,0.0,0,1
32976,774331,0,0,0.93,48,,0,14.8,4.8,0,1
45607,1069850,1,1,2.67,15,1.26,0,64.5,2.4,0,0
15164,352892,1,0,3.41,10,,0,5.4,0.4,7,1
19956,466794,1,0,2.01,23,,0,25.6,3.7,0,1
38771,909059,0,0,0.75,26,0.0,2,3.7,0.3,0,1
4962,113762,0,0,3.03,22,,0,0.0,0.0,0,1
41155,963329,1,0,2.97,25,,0,80.8,7.0,0,1
48143,1128824,1,0,2.31,22,0.63,0,9.2,4.6,0,0
327,7302,0,0,5.28,43,,0,0.0,0.0,0,1
45850,1075040,1,1,2.64,10,1.3,0,20.4,2.0,0,0
30025,703800,1,0,0.07,9,,0,0.6,0.1,0,1
39905,933902,1,0,0.38,18,0.0,0,38.0,1.6,0,1
53824,1261082,1,0,0.01,0,0.0,0,1.4,0.0,0,1
70304,1643763,1,1,0.12,9,1.85,0,39.7,4.5,0,0
69902,1635143,1,1,0.14,16,1.83,0,11.3,0.8,0,0
1967,45511,0,0,2.09,43,,0,0.0,0.0,0,1
16445,383298,1,0,4.68,22,0.0,0,24.8,2.3,0,1
72126,1686527,0,0,0.4,16,1.57,0,149.8,4.7,0,1
36913,865477,1,0,1.08,23,,0,62.7,7.4,0,1
25545,599443,1,0,5.53,30,1.15,0,79.4,7.7,0,0
55076,1289461,1,0,1.56,46,0.38,0,73.3,10.8,0,0
55697,1303559,1,1,1.47,28,0.03,1,179.8,6.3,0,0
12724,296147,1,0,0.68,16,0.0,5,0.0,0.0,0,1
4620,105489,1,1,2.78,0,,0,0.0,0.0,4,1
32408,760671,1,0,4.35,18,1.59,0,35.9,2.0,0,0
56214,1315699,0,0,1.4,24,0.58,0,87.7,11.0,0,0
24,608,0,0,8.57,20,,0,0.0,0.0,0,1
34411,808195,1,0,0.82,11,0.0,0,48.0,2.8,0,1
52144,1223018,1,0,2.07,11,0.6,0,23.1,1.3,0,1
6752,156191,0,0,2.26,13,,0,0.0,0.0,0,1
64500,1512201,1,1,0.68,15,1.3,0,11.1,1.9,0,0
57017,1334194,1,1,1.29,28,0.93,1,148.9,15.9,0,0
50705,1188634,1,0,2.05,13,1.89,0,81.2,3.7,0,0
6005,138444,0,0,1.47,1,0.51,0,0.0,0.0,7,1
23444,550410,1,0,2.2,20,,0,11.4,0.6,0,1
69652,1629316,1,0,0.99,34,,0,57.9,1.8,0,1
46687,1094076,1,0,0.89,55,0.0,0,39.6,31.3,0,1
34774,816894,1,0,1.62,22,0.0,0,5.5,0.3,0,1
51239,1201828,1,1,2.54,16,,0,12.9,0.5,0,1
34580,812706,1,1,4.05,19,1.96,0,28.5,2.1,0,0
43897,1028551,1,1,2.87,25,0.06,0,22.6,1.1,0,0
35598,836345,1,0,3.91,22,0.02,3,98.5,4.7,0,0
48956,1148947,1,1,2.21,17,1.79,1,93.7,5.2,0,0
12252,284717,1,0,6.85,12,0.92,0,47.3,4.3,0,0
43088,1009728,1,0,1.82,10,0.0,0,88.7,8.2,0,1
33294,781844,1,1,4.2,16,1.68,0,46.9,12.2,0,0
33448,785516,1,1,1.99,17,,0,1.7,0.4,0,1
30297,710394,1,1,4.76,32,,1,203.6,9.5,0,0
31339,735182,1,0,4.57,19,1.72,0,227.0,15.5,0,0
16539,386022,1,0,3.05,23,,0,14.8,2.5,0,1
48780,1144219,1,0,2.23,12,1.72,0,114.0,11.8,0,0
47284,1108698,1,0,1.6,22,,0,61.2,4.3,0,1
25066,587681,1,0,5.66,16,1.75,0,126.3,5.9,1,0
53859,1261943,1,0,1.94,2,0.04,0,12.2,0.6,0,1
11820,275012,1,1,6.88,24,1.96,0,21.6,0.9,0,0
35763,839816,1,1,3.27,22,0.0,0,97.3,5.8,0,1
38261,897038,1,1,3.48,15,1.5,0,13.4,3.2,0,0
45208,1059534,1,1,2.71,41,,0,24.9,3.2,0,1
33439,785190,1,1,4.18,20,1.91,0,150.6,6.5,0,0
46738,1095229,1,1,2.51,15,1.65,0,50.3,4.3,0,0
45741,1073192,1,0,0.96,21,0.0,0,31.1,2.6,0,1
64577,1514025,1,0,0.67,14,1.3,0,7.9,0.6,0,0
8901,206798,0,0,0.33,18,,0,0.0,0.0,0,1
42753,1001927,1,0,2.96,20,0.99,0,139.7,3.9,0,0
36629,859301,1,1,3.76,12,0.21,0,34.8,2.1,0,0
59130,1385780,1,0,1.1,20,0.87,0,106.7,11.9,0,0
46706,1094428,1,0,2.52,106,0.41,3,276.3,9.8,0,0
37087,869357,1,1,3.69,12,0.19,0,103.0,3.2,0,0
56367,1319026,1,0,1.39,21,0.59,0,27.7,7.9,0,0
66969,1568142,1,0,0.41,27,0.68,0,54.9,3.3,0,0
44211,1035542,1,0,2.84,18,,0,41.1,1.3,0,0
53758,1259642,1,1,1.72,13,0.19,0,36.4,3.1,0,0
69762,1631750,0,0,0.92,34,1.05,0,181.6,11.0,0,1
35915,843107,1,1,3.87,20,0.08,0,17.3,1.4,0,0
28670,671264,1,0,5.03,20,0.91,0,6.2,0.3,0,0
57951,1357742,1,0,1.19,20,0.78,0,21.0,3.2,0,0
11729,273316,0,0,1.99,22,,0,0.0,0.0,0,1
35746,839483,1,1,3.89,26,0.8,0,98.6,8.5,0,0
31075,728905,1,1,4.62,37,0.25,0,96.6,7.3,0,0
34847,818721,1,0,1.32,21,,0,32.7,1.0,0,1
56140,1313866,1,1,0.56,10,0.0,0,54.3,4.6,0,1
54448,1275194,1,1,1.39,13,0.0,0,25.3,1.5,0,1
9660,224892,1,0,0.51,20,0.0,0,0.0,0.0,0,1
62665,1469220,1,0,0.84,14,1.13,0,43.0,4.9,0,0
35825,841394,1,1,3.88,20,0.07,0,91.1,6.0,0,0
15708,367160,1,0,1.49,21,0.0,0,0.0,0.0,0,1
22835,535361,1,1,5.91,14,1.77,0,24.3,5.7,0,0
10866,253749,0,0,1.98,0,,0,0.0,0.0,0,1
7389,171120,0,0,1.16,0,,0,0.0,0.0,0,1
31437,737586,1,0,2.72,26,0.0,0,2.3,0.2,0,1
27835,652919,0,0,1.74,0,,0,17.0,0.8,7,1
18842,440822,1,1,5.62,12,,0,2.3,0.4,6,1
31098,729524,1,0,0.94,0,0.0,3,12.4,0.5,0,1
14923,347111,1,0,3.7,10,,0,0.8,0.4,2,1
31449,737741,1,0,2.17,20,0.0,0,34.6,3.3,0,1
68376,1599364,0,0,0.27,35,1.7,0,22.3,5.4,0,0
32803,770451,1,0,1.54,72,0.0,0,15.4,11.4,0,1
60939,1428960,1,0,0.98,14,0.99,0,35.1,1.6,0,0
71009,1660380,0,0,0.07,21,1.9,0,23.3,1.0,0,0
15884,370803,1,1,3.19,16,0.0,0,6.4,0.8,0,1
54182,1269167,1,1,1.98,10,1.92,0,41.0,2.4,0,1
6010,138535,1,0,4.72,22,,0,28.0,1.8,0,1
52073,1221160,1,1,1.91,20,0.03,1,112.6,4.8,0,0
10029,234208,1,1,7.04,22,1.03,0,70.1,5.4,0,0
29300,686561,1,1,4.94,17,1.68,0,24.2,0.5,0,0
33997,798549,1,0,1.97,30,0.0,0,0.0,0.0,0,1
14312,332624,0,0,0.51,0,,14,0.0,0.0,2,1
33466,785963,1,0,0.98,18,0.0,0,136.7,10.9,0,1
30811,722189,1,0,0.03,10,0.0,0,0.6,0.1,0,1
43581,1021119,1,0,2.89,12,1.04,0,18.9,0.9,0,0
44468,1041670,1,1,2.81,15,1.11,0,14.5,0.8,0,0
30816,722263,0,0,1.04,0,,2,16.0,1.1,0,1
4731,108119,1,1,3.96,22,,0,21.8,1.0,0,1
33987,798092,1,0,1.97,30,0.0,0,6.1,0.4,0,1
21820,510789,1,0,1.3,19,0.0,0,0.0,0.0,0,1
37064,868943,1,1,4.05,21,,0,39.0,4.0,0,1
