,id,is_tv_subscriber,is_movie_package_subscriber,subscription_age,bill_avg,reamining_contract,service_failure_count,download_avg,upload_avg,download_over_limit,churn
21407,500651,1,1,0.25,18,0.02,1,0.0,0.0,0,1
22236,520666,1,0,2.48,12,0.0,0,3.9,0.4,0,1
42668,999740,1,0,2.97,12,0.96,0,38.0,2.5,0,0
37310,874691,1,0,1.35,26,0.0,0,7.3,0.6,0,1
43406,1017236,1,0,2.9,12,1.01,0,13.9,1.9,0,0
32259,757337,1,1,2.36,24,0.0,0,0.0,0.0,0,1
8241,191546,1,0,7.25,21,0.33,1,45.3,7.1,0,0
22784,534276,1,0,3.06,22,0.0,2,55.2,8.2,0,1
1451,33531,0,0,2.78,0,,0,0.0,0.0,0,1
70464,1647186,0,0,0.42,24,1.55,1,30.8,1.5,0,1
6484,149642,0,0,6.69,21,,0,8.2,1.2,4,1
60826,1426233,0,0,0.99,33,0.97,0,12.8,2.8,0,0
72094,1685953,0,0,0.48,15,1.49,2,32.7,6.0,0,1
33302,782060,1,1,4.2,16,1.68,0,116.6,8.0,0,0
51920,1218272,1,0,1.92,14,0.02,0,70.7,5.6,0,0
19677,460093,1,0,1.97,21,0.0,0,0.4,0.1,0,1
71496,1672026,1,1,0.83,23,1.14,0,48.4,3.4,0,1
4757,108871,0,0,1.71,4,,0,0.0,0.0,0,1
7412,171740,0,0,1.21,21,1.5,0,0.0,0.0,0,1
26159,613627,0,0,1.16,22,,0,13.9,0.9,0,1
1810,42161,0,0,2.25,17,,0,0.0,0.0,0,1
42270,989650,1,0,2.62,24,,0,71.2,7.8,0,1
21707,508331,1,1,6.0,25,1.89,1,260.3,13.4,0,0
15224,354804,1,0,0.45,7,0.0,0,0.0,0.0,0,1
62783,1471993,1,1,0.83,15,1.14,0,176.6,8.9,0,0
25118,588882,1,1,5.64,15,1.26,0,27.0,2.2,0,0
9452,219469,1,1,1.11,15,0.86,0,0.0,0.0,0,1
43203,1012295,1,0,2.92,12,0.99,0,10.5,2.3,0,0
16992,397460,1,0,4.22,25,0.0,0,12.0,1.4,0,1
1647,37968,1,0,3.59,0,,0,0.0,0.0,3,1
57091,1336406,1,0,1.28,12,1.05,0,49.6,6.9,0,0
7571,174971,0,0,2.0,23,,0,0.0,0.0,0,1
63105,1479776,1,0,0.8,14,1.17,0,7.4,0.7,0,0
22402,524795,1,0,2.03,21,,1,19.7,1.3,0,1
65445,1532796,1,1,0.6,22,1.38,1,65.7,5.2,0,0
25844,606412,0,0,5.45,73,,0,105.2,73.3,0,0
47570,1115395,1,1,2.39,15,1.51,1,28.2,1.7,0,0
58482,1369968,1,0,0.12,14,0.0,0,9.3,0.3,0,1
57531,1347311,1,0,1.23,22,0.75,0,50.4,5.7,0,0
33321,782475,1,0,1.42,10,0.0,0,9.5,0.4,0,1
57071,1335971,1,0,1.28,12,0.83,0,98.0,3.7,0,0
32703,767796,1,0,0.44,20,,0,11.6,1.0,0,1
52054,1220628,1,0,1.92,14,0.03,0,51.3,10.7,0,0
40704,952596,1,0,3.95,20,0.0,0,53.2,3.3,0,1
40950,958986,1,0,2.97,29,,0,229.9,18.1,0,1
31478,738699,1,1,4.55,16,1.53,0,56.0,8.5,1,0
59191,1387355,1,0,0.19,16,0.0,0,25.5,1.3,0,1
17087,399410,0,0,6.38,25,0.31,0,188.1,8.2,0,0
2164,50140,1,0,2.72,23,,1,0.0,0.0,0,1
38734,908405,1,0,1.98,26,,0,19.1,1.4,0,1
17463,408311,1,1,5.95,16,0.79,0,20.2,1.8,0,1
19919,465636,1,0,2.35,30,,0,43.8,5.8,0,1
60971,1429810,1,0,0.39,19,0.0,0,22.7,3.2,0,1
13804,321224,0,0,1.97,22,0.05,0,3.2,0.4,0,1
52263,1225882,1,1,1.12,12,0.0,0,62.1,16.4,0,1
60294,1413054,1,0,1.02,20,0.95,0,77.1,5.9,0,0
7714,178986,0,0,1.02,15,0.0,0,0.0,0.0,0,1
43288,1014473,1,0,2.92,12,1.01,0,3.1,0.5,0,0
38775,909221,1,0,0.61,17,0.0,0,13.0,0.5,0,1
60899,1428138,1,0,0.98,22,0.99,0,34.6,1.7,0,0
22900,536804,1,0,3.87,21,,0,0.7,0.2,0,1
61339,1438202,1,0,0.95,14,1.03,0,28.9,5.6,0,0
6104,140926,1,0,5.1,29,0.0,2,44.4,2.1,0,1
27905,654527,1,0,0.67,16,0.0,0,0.0,0.0,0,1
50736,1189261,1,1,2.05,17,1.9,0,43.1,5.3,0,0
52725,1235969,1,0,1.84,13,0.09,0,56.7,2.8,0,0
33258,781034,1,1,4.93,19,,0,9.1,1.2,0,1
65811,1541012,1,1,0.56,8,1.41,0,55.9,4.9,0,0
33516,786908,1,1,4.17,19,1.78,0,148.8,11.0,0,0
11326,264880,1,0,2.83,22,,0,13.2,1.0,0,1
59772,1400517,1,0,1.06,14,0.91,0,128.0,10.0,0,0
48287,1132496,1,0,1.99,22,,0,7.4,0.5,0,1
56051,1311924,1,0,1.42,8,1.21,0,4.0,1.5,0,0
6887,159161,1,0,3.61,17,,0,10.4,1.4,0,1
18460,431514,0,0,2.03,21,,0,19.2,2.3,0,1
68817,1609479,1,0,0.23,0,1.99,0,0.0,0.0,0,0
52521,1231319,1,1,0.8,20,0.0,0,66.4,3.0,0,1
26846,628984,1,1,1.68,0,0.0,0,1.6,0.3,0,1
31128,730363,1,1,0.56,20,0.0,0,5.9,0.5,0,1
23622,554144,0,0,2.2,19,,0,0.0,0.0,0,1
40740,953590,0,0,1.97,26,0.0,0,21.3,1.2,0,1
39230,919794,1,1,3.26,12,0.0,0,20.1,2.0,0,1
38571,904630,1,0,1.58,26,0.0,0,28.9,1.5,0,1
25649,601445,1,0,2.99,24,,0,17.7,3.2,0,1
25236,591846,1,0,1.42,21,0.0,1,18.9,2.3,0,1
55533,1300140,1,0,0.93,30,0.0,0,32.6,2.2,0,1
39361,922424,1,1,3.29,12,0.61,0,20.4,0.9,0,0
39277,920566,1,1,3.31,12,0.64,0,100.4,12.8,0,0
16571,386936,1,1,2.28,22,,1,34.0,3.1,0,1
51877,1217176,1,0,1.93,14,0.04,0,56.2,4.5,0,0
24782,581222,1,0,5.71,32,,0,34.9,3.8,0,0
63034,1478008,1,1,1.2,17,0.78,0,31.2,3.0,0,1
47023,1101972,1,1,2.47,10,1.44,0,140.3,6.9,0,0
24228,568713,0,0,0.75,19,0.0,0,0.0,0.0,0,1
65148,1526541,1,0,0.62,14,1.35,0,33.5,1.5,0,0
3474,79044,1,1,3.03,0,,0,0.9,0.0,0,1
71325,1668127,1,0,0.05,5,1.93,0,0.8,2.0,0,0
31107,729801,1,0,4.62,21,0.36,0,8.0,0.9,0,0
68918,1611593,1,0,0.22,19,1.75,1,126.3,3.7,0,0
32580,765012,1,0,1.36,23,0.0,0,32.0,2.0,0,1
67434,1578355,1,1,0.36,29,0.92,1,129.0,5.2,0,0
33006,774983,1,1,4.24,16,1.63,0,31.5,2.2,0,0
30315,710802,0,0,1.53,25,0.0,0,7.6,0.9,0,1
44718,1047940,1,1,2.78,15,1.14,0,18.3,1.1,0,0
54955,1286808,1,0,1.57,13,0.4,0,23.2,1.2,0,0
60800,1425670,1,0,0.99,20,0.99,0,25.0,1.7,0,0
40989,959837,1,1,3.12,19,1.84,1,25.4,1.1,0,0
31372,736049,0,0,0.38,11,0.0,1,1.7,0.3,0,1
43139,1010929,1,0,2.93,46,0.98,0,117.5,11.8,0,0
1130,26061,0,0,3.58,24,,3,0.0,0.0,0,1
21003,490819,1,0,0.18,16,0.0,1,0.0,0.0,0,1
48211,1130202,1,1,2.3,11,1.61,0,96.2,6.9,0,0
13078,304173,1,0,2.32,0,,0,11.3,1.3,0,1
50939,1194675,1,0,2.02,13,,2,34.7,3.2,0,0
44712,1047760,1,0,2.78,19,1.83,0,18.4,3.0,0,0
28954,678359,1,0,0.01,0,0.0,0,0.0,0.0,0,1
9814,228688,1,1,2.68,0,,0,11.3,0.9,7,1
10917,255217,0,0,2.28,0,,0,0.0,0.0,0,1
52152,1223264,1,1,1.9,14,0.06,0,4.1,1.2,0,0
18059,422067,1,0,2.03,17,,1,6.2,0.5,0,1
23208,544852,1,1,5.88,14,1.59,0,39.3,5.8,0,0
13359,310832,1,1,6.78,20,0.05,0,48.0,1.8,0,0
33498,786669,1,1,3.95,20,,0,117.3,5.9,0,1
24713,579629,0,0,5.05,24,,1,28.8,3.6,0,1
44082,1032606,1,0,2.86,12,1.06,0,97.0,8.1,0,0
4887,112154,1,1,3.15,0,,0,0.0,0.0,0,1
34029,799199,1,1,4.12,16,1.77,0,131.5,6.5,0,0
66103,1547734,1,1,0.53,13,1.44,0,75.8,3.7,0,0
41401,969090,0,0,0.45,21,,0,7.7,0.4,0,1
51002,1196412,0,0,2.73,59,,1,148.0,5.4,0,1
58551,1371820,1,1,1.13,22,0.84,0,43.4,2.7,0,0
27121,635890,0,0,0.11,27,0.0,0,0.0,0.0,0,1
42296,990286,1,0,3.01,12,0.93,0,6.1,0.3,0,0
40960,959181,1,0,3.13,20,0.82,0,82.0,4.0,0,0
65464,1533235,1,1,0.6,15,1.38,0,67.4,3.2,0,0
59551,1394975,1,0,0.95,14,0.0,0,20.7,0.9,0,1
43366,1016355,1,0,2.91,22,0.03,0,10.7,0.8,0,0
47118,1104496,1,0,0.59,22,0.0,0,25.4,0.7,0,1
62164,1457857,1,1,0.88,22,1.09,0,105.6,7.5,0,0
3146,71951,0,0,2.15,21,1.49,0,0.0,0.0,0,1
68530,1602863,1,0,0.25,21,1.72,0,49.5,2.5,0,0
48099,1127813,1,0,2.33,20,1.61,0,113.9,6.6,0,0
46383,1087090,1,1,2.56,24,1.34,1,160.2,68.6,0,0
63528,1489157,1,1,0.76,15,1.21,0,46.1,3.2,0,0
11194,261665,1,1,0.53,0,1.44,0,0.0,0.0,7,1
68942,1612195,1,1,0.22,21,1.33,0,29.4,3.3,0,0
63645,1492088,1,1,0.75,15,1.22,0,67.8,11.2,0,0
70015,1637580,1,1,0.13,10,1.84,0,18.1,1.2,0,0
47367,1110846,1,1,2.41,22,1.51,0,84.3,6.8,1,0
40205,940953,1,0,2.98,35,,0,171.4,33.6,0,1
32826,770954,1,1,3.7,20,0.0,0,97.2,6.3,0,1
71365,1669021,1,1,0.04,3,1.94,0,5.8,0.4,0,0
71514,1672379,1,1,0.03,1,1.94,0,14.2,0.5,0,0
49874,1170483,1,1,2.01,18,,0,64.7,8.3,0,1
32498,762724,1,0,1.98,30,,1,2.5,0.3,0,1
50441,1182794,1,0,2.8,23,1.97,0,134.0,7.1,0,1
8932,207353,1,1,1.78,20,0.67,2,0.0,0.0,0,1
26877,630035,0,0,0.51,20,,0,17.9,2.1,0,1
33163,778793,0,0,0.13,10,,0,3.7,0.3,0,1
3645,83044,1,1,7.73,39,0.0,0,305.9,22.5,0,1
20757,484746,0,0,0.26,0,0.01,1,0.0,0.0,3,1
61180,1434146,1,0,0.96,20,1.01,0,49.8,2.2,0,0
66213,1550182,1,0,0.52,33,1.45,0,67.4,7.2,0,0
64101,1502847,1,1,0.71,15,1.26,1,65.4,2.8,0,0
54281,1271388,1,0,1.56,14,0.0,0,25.6,1.2,0,1
59276,1388880,1,1,1.1,24,0.88,0,129.8,3.9,0,0
51222,1201426,1,0,2.0,19,1.93,0,193.2,15.9,0,0
71342,1668424,1,1,0.04,2,1.07,0,3.8,0.1,0,0
21801,510560,1,0,2.06,20,,1,1.4,0.2,0,1
36955,866295,0,0,0.91,25,0.0,0,32.4,1.9,0,1
48209,1130169,1,1,2.3,28,,0,107.6,8.0,0,0
66388,1554059,1,0,1.08,35,0.83,1,122.2,4.4,0,1
62436,1463877,1,0,0.86,14,1.11,0,41.2,1.3,0,0
38977,914205,1,0,2.95,30,0.0,0,90.9,11.0,0,1
32956,773914,0,0,0.6,18,0.0,0,9.6,0.9,0,1
2281,53001,0,0,2.3,0,,0,0.0,0.0,0,1
38184,895256,1,0,0.28,29,0.0,1,49.8,6.6,0,1
5248,120629,1,1,1.55,0,0.0,0,0.0,0.0,0,1
6732,155461,0,0,1.98,16,,0,0.0,0.0,0,1
58839,1379139,1,0,1.12,22,0.85,0,61.3,2.1,0,0
24922,584692,0,0,0.89,22,0.0,0,0.7,0.0,0,1
14390,334728,0,0,3.88,22,,0,2.3,0.1,0,1
40511,948174,1,1,3.16,20,0.0,0,101.0,4.6,0,0
61871,1450412,1,0,0.91,8,1.07,0,34.6,1.8,0,0
32195,755767,1,1,4.01,20,0.0,0,96.8,32.6,0,1
46115,1081092,1,1,2.6,20,1.31,1,222.9,13.2,0,0
22404,524813,1,0,5.95,20,0.99,0,29.2,4.2,0,0
72129,1686606,1,1,0.52,20,0.18,2,28.6,3.5,0,1
50587,1185846,1,1,1.58,49,,0,118.3,8.6,0,1
34334,806352,1,0,2.03,22,,2,82.8,4.2,0,1
41444,970043,1,0,1.98,22,,1,52.9,2.3,0,1
30533,716171,0,0,2.28,20,,0,7.3,0.2,0,1
69588,1628013,0,0,0.78,36,1.19,0,90.6,2.6,0,1
37249,873244,1,1,3.66,10,1.22,1,111.4,7.2,0,0
62575,1467295,1,0,0.85,8,1.12,0,3.9,0.2,0,0
49685,1166601,1,1,2.12,18,1.8,2,46.3,2.6,0,0
59293,1389367,1,0,1.09,14,0.88,0,24.6,0.9,0,0
67663,1583626,1,0,0.33,5,1.88,0,34.8,2.3,0,0
9309,216318,1,0,7.11,22,1.97,0,52.8,7.4,0,0
16210,378349,1,0,2.56,17,,0,6.8,1.3,0,1
23988,562946,0,0,0.27,15,,0,0.0,0.0,0,1
40407,945626,0,0,2.82,33,,0,57.6,4.2,0,1
68596,1604238,1,1,0.25,21,1.72,0,55.6,3.4,0,0
13557,315684,0,0,0.76,22,1.3,0,0.0,0.0,0,1
20791,485540,1,1,2.12,0,,0,0.6,0.1,0,1
2696,61647,1,0,5.67,0,,0,0.0,0.0,0,1
23245,545939,0,0,5.73,36,,0,107.9,14.4,0,1
17385,406620,1,0,2.01,21,,0,4.5,0.4,0,1
18953,443526,1,0,0.75,23,0.0,0,0.0,0.0,0,1
753,17277,0,0,6.14,0,,0,0.7,0.1,1,1
68223,1595865,1,0,0.28,26,0.7,0,37.4,5.7,0,0
36165,848741,1,1,3.82,21,0.13,0,35.4,4.7,0,0
50561,1185232,1,1,2.06,23,1.86,0,34.4,4.2,0,0
54816,1283792,1,1,1.63,20,0.0,0,37.8,3.5,0,1
21185,495403,1,0,3.7,11,0.0,0,105.4,5.2,0,1
56637,1324827,1,1,1.36,12,0.61,0,33.7,1.3,0,0
17685,413358,1,1,6.33,23,0.89,0,78.9,13.0,0,0
21201,495779,0,0,1.29,0,0.0,1,0.0,0.0,2,1
55411,1297248,1,1,1.5,12,0.47,0,72.1,2.9,0,0
32971,774164,1,1,0.85,18,,0,3.6,0.2,0,1
71025,1660711,1,1,0.07,9,1.24,0,5.2,0.3,0,0
52184,1223998,1,1,1.97,20,0.0,0,34.5,2.3,0,1
46437,1088265,0,0,1.98,24,,0,14.9,0.9,0,1
68979,1612987,0,0,0.22,28,1.76,1,111.8,9.1,0,0
15872,370561,0,0,2.27,22,,1,1.2,0.1,0,1
12195,283263,0,0,2.3,22,,0,7.5,0.5,0,1
22493,526873,1,0,2.14,33,,5,55.6,7.0,0,1
40785,954839,1,0,3.14,12,0.81,1,108.8,8.9,0,0
42163,987089,1,0,3.02,20,0.88,0,208.3,12.5,0,0
63856,1496544,1,1,0.54,19,0.0,1,90.3,9.2,0,1
12566,292769,0,0,0.99,21,0.01,1,0.0,0.0,0,1
48303,1132854,1,1,2.29,36,1.63,1,114.8,18.0,0,0
18871,441540,1,1,6.23,24,1.68,0,388.2,43.6,0,0
34404,808032,1,0,0.47,0,,0,8.8,0.9,3,1
33965,797567,1,0,1.93,20,0.0,2,30.2,1.4,0,1
69083,1615559,1,0,0.21,0,2.01,2,18.7,2.4,0,0
53598,1256104,1,0,1.74,13,0.17,0,41.0,2.4,0,0
54992,1287433,1,1,1.64,12,0.0,0,18.6,1.3,0,1
32952,773653,1,1,4.98,5,0.0,0,0.0,0.0,0,1
24190,567837,1,0,5.78,21,0.23,0,99.4,9.6,0,0
25374,594919,0,0,3.94,24,,0,89.2,7.0,0,1
64321,1507887,0,0,0.0,0,0.0,0,0.0,0.0,0,1
38710,907857,1,0,0.01,2,0.0,0,0.0,0.0,0,1
13681,318524,1,0,2.59,22,,0,25.3,1.6,0,1
70959,1659152,1,1,0.08,14,1.9,0,40.7,4.5,0,0
69695,1630390,1,1,0.15,13,1.82,0,117.7,5.6,0,0
58431,1368950,1,0,1.14,14,0.83,0,43.4,2.5,0,0
55464,1298683,1,0,1.5,13,0.42,0,44.7,6.1,0,0
7541,174512,0,0,0.54,22,,0,0.0,0.0,0,1
67522,1580506,1,1,0.35,16,1.62,0,15.2,1.0,0,0
40826,955850,1,1,3.13,23,0.78,0,17.8,2.3,0,0
37330,875219,1,0,3.65,22,0.7,0,37.6,2.2,0,0
49192,1154313,1,1,2.18,15,1.38,0,49.6,2.7,0,0
31947,750271,1,1,4.43,22,0.14,0,128.0,12.7,0,0
4176,95658,1,1,2.63,0,,0,0.0,0.0,3,1
31090,729299,1,1,4.62,21,0.5,0,6.7,0.2,0,0
7201,166840,1,0,2.67,13,,0,0.0,0.0,0,1
61658,1445613,1,1,0.92,14,1.05,0,39.2,3.5,0,0
48114,1128126,1,0,1.11,22,0.0,0,76.9,3.9,0,1
2785,63619,1,0,2.12,0,,0,0.0,0.0,0,1
39643,928163,1,0,2.68,20,0.0,0,38.6,1.3,0,1
13948,324422,1,0,5.28,28,,0,14.3,0.5,0,1
37721,884149,1,1,2.85,19,0.0,0,60.1,12.6,0,1
71684,1676157,1,0,0.02,0,1.95,0,,,0,0
67242,1574255,1,1,0.38,22,1.59,0,101.8,4.8,0,0
26348,617529,1,1,5.38,10,0.62,0,9.4,1.7,0,0
51566,1209188,1,0,0.56,22,0.0,0,56.5,3.4,0,1
57860,1355178,1,0,1.2,22,0.78,0,11.5,0.6,0,0
8015,185819,1,0,3.76,0,,0,1.1,0.2,5,1
48115,1128140,1,1,2.32,16,1.61,0,41.3,2.4,0,0
65199,1527896,1,0,0.62,8,1.36,0,26.0,2.5,0,0
34852,818800,1,0,4.02,19,1.9,0,83.2,14.4,0,0
17670,413104,1,0,4.2,19,0.0,0,19.8,1.1,0,1
16534,385937,1,0,1.34,21,0.0,0,0.0,0.0,0,1
20207,472164,1,0,2.15,56,,0,48.2,5.4,0,1
55867,1307999,1,0,1.44,6,0.49,0,10.3,0.2,0,0
38440,901454,1,0,1.63,22,0.0,0,58.5,3.8,0,1
19228,449917,1,0,3.23,24,,0,10.2,0.9,0,1
45264,1061012,1,1,2.71,15,1.21,0,93.3,6.6,0,0
24531,575320,0,0,0.67,21,0.0,0,0.0,0.0,0,1
22083,516913,1,0,1.57,22,0.0,0,31.7,3.5,0,1
27305,640102,1,1,0.93,23,,0,44.4,2.5,0,1
31213,732270,0,0,1.52,17,0.0,0,5.9,0.7,0,1
2594,59661,1,1,2.98,21,0.84,0,0.0,0.0,0,1
35181,826545,1,1,3.97,17,1.89,0,66.3,6.0,0,0
64091,1502688,1,0,0.71,10,1.26,0,43.2,3.9,0,0
46893,1098659,1,0,0.03,0,0.0,0,0.0,0.0,0,1
44118,1033423,1,0,2.31,11,0.0,0,15.6,1.4,0,1
61868,1450381,1,0,0.91,14,1.07,0,24.2,1.9,0,0
67452,1578902,1,1,0.48,23,0.0,0,65.1,6.9,0,1
49514,1162026,1,1,2.15,17,1.76,0,93.4,24.7,0,0
59888,1402956,1,0,1.06,14,0.92,0,97.0,8.8,0,0
15922,371871,1,0,6.49,21,0.15,0,58.5,6.3,0,0
5157,118557,0,0,6.56,10,,0,14.5,0.8,7,1
71949,1682878,1,0,0.06,6,0.62,0,26.2,0.9,0,1
16143,376820,1,0,1.97,22,0.0,0,0.0,0.0,0,1
69717,1630934,1,0,0.15,14,1.82,0,36.3,4.7,0,0
10399,242976,1,0,7.0,12,,0,1.6,0.4,5,0
11623,271016,0,0,3.83,40,,0,3.4,0.2,0,1
27023,633431,0,0,3.05,25,,0,21.3,2.9,0,1
28236,662028,0,0,0.67,35,0.0,0,75.6,5.2,0,1
51278,1202659,1,1,1.99,12,1.94,0,108.7,13.3,0,0
59936,1403972,1,0,1.05,14,0.92,0,49.4,4.5,0,0
15994,373562,1,1,3.5,24,,0,20.2,1.4,0,1
47897,1122816,0,0,0.34,20,,0,17.2,1.5,0,1
69640,1629104,0,0,0.15,29,1.82,0,35.9,2.4,0,0
64251,1506151,1,0,0.7,13,0.33,0,42.8,3.4,0,0
62533,1466389,1,0,0.85,22,1.08,0,63.0,6.9,0,0
25992,609725,0,0,1.18,22,,2,23.7,3.2,0,1
69679,1629879,0,0,0.15,20,0.25,1,82.3,8.5,0,0
38097,893261,1,0,0.31,17,0.0,1,10.1,0.4,0,1
21014,490993,1,1,6.07,15,,0,35.4,3.7,0,0
59314,1390064,1,1,0.73,17,0.0,0,110.7,9.5,0,1
15705,367086,1,1,1.39,23,0.0,0,0.0,0.0,0,1
41097,962054,1,1,3.36,9,1.11,0,5.4,0.2,0,1
15523,362641,1,0,4.68,26,0.0,0,6.7,0.5,0,1
41027,960678,1,1,3.12,16,1.76,0,47.9,3.3,0,0
9860,229786,1,1,7.06,17,1.18,0,151.7,9.8,0,0
8534,198539,0,0,2.65,18,,0,0.0,0.0,0,1
20279,474010,0,0,3.05,24,,0,19.5,3.2,0,1
44522,1043190,1,0,2.19,20,,0,25.6,0.9,0,1
20661,482485,1,1,2.24,0,,0,12.6,0.8,1,1
14411,335196,1,0,2.87,21,0.0,0,11.6,0.8,0,1
1833,42658,1,1,5.22,18,0.0,0,43.3,3.9,0,1
125,2705,0,0,5.62,0,,0,0.0,0.0,0,1
11890,276612,1,1,6.88,10,1.39,2,52.6,5.1,0,0
11924,277257,0,0,2.2,23,,1,8.7,0.6,0,1
27167,636868,0,0,1.08,21,0.0,0,1.4,0.2,0,1
60042,1406223,1,0,1.04,30,0.93,0,32.5,3.6,0,0
33597,788879,1,0,4.01,20,,0,60.3,7.6,0,1
41589,974067,1,0,3.46,18,0.59,0,77.5,5.5,0,1
68155,1594145,1,0,0.29,15,1.68,0,37.3,1.9,0,0
20348,475559,0,0,0.92,18,0.0,0,0.0,0.0,0,1
62017,1454127,1,0,0.89,22,1.08,0,119.0,11.6,0,0
21373,499732,1,0,0.9,15,0.0,0,0.0,0.0,0,1
27441,643656,1,0,2.86,23,,0,7.5,0.6,0,1
71055,1661445,1,1,0.48,10,0.0,0,29.4,0.9,0,1
31347,735425,1,0,4.57,21,1.66,0,43.0,4.0,0,0
54952,1286713,1,1,1.57,12,0.4,0,137.1,18.1,0,0
56018,1311282,1,1,1.42,20,0.55,0,50.2,7.8,0,0
42497,995666,1,1,0.95,13,0.0,0,42.4,4.1,0,1
32538,763666,0,0,4.33,163,,1,455.9,48.6,0,0
46729,1095016,1,1,2.51,22,1.36,0,54.3,2.4,0,0
521,11876,1,1,6.73,22,,0,3.1,0.5,0,1
36126,847512,0,0,1.32,40,0.0,2,21.2,4.8,0,1
20227,472868,1,1,4.85,28,,0,95.3,3.8,0,1
5258,120782,1,0,4.95,10,,0,3.4,0.5,7,1
725,16588,0,0,7.21,10,,2,0.2,0.0,0,1
40453,946810,1,0,3.16,22,0.74,0,88.7,4.5,0,0
57670,1350982,1,0,1.22,9,0.76,0,10.8,2.0,0,0
12623,294068,0,0,0.27,4,1.7,0,0.0,0.0,0,1
38168,895052,1,0,1.01,26,,0,72.3,2.3,0,1
33318,782451,1,0,4.2,17,1.72,0,43.9,3.3,0,0
45530,1068011,1,1,2.67,10,1.24,0,50.3,4.3,0,0
19983,467411,0,0,0.96,17,0.0,1,0.0,0.0,0,1
38637,906183,1,1,3.41,25,1.56,0,62.6,3.0,0,0
51291,1202842,1,1,1.99,12,1.93,0,3.5,0.9,0,0
35613,836592,1,0,1.98,26,,0,34.2,2.6,0,1
10097,235754,1,0,7.03,25,0.05,2,49.4,2.6,0,0
8270,192470,1,1,0.93,22,1.04,0,0.0,0.0,0,1
29702,696258,1,0,2.09,1,0.0,0,18.7,15.0,0,1
25542,599395,1,0,2.42,21,,0,6.3,0.7,0,1
23015,540035,0,0,0.73,18,0.0,0,0.0,0.0,0,1
14978,348331,1,0,2.62,18,0.0,0,13.0,1.0,0,1
2659,60763,0,0,3.49,24,,0,0.0,0.0,0,1
4996,114545,1,0,6.77,18,0.22,0,39.2,3.4,0,1
65821,1541311,1,1,0.22,18,0.0,0,14.4,2.2,0,1
37874,887751,1,1,3.55,12,0.38,0,42.2,2.7,0,0
50543,1184689,1,0,0.13,11,0.0,0,15.3,0.5,0,1
3214,73193,0,0,2.01,0,,0,0.0,0.0,0,1
22696,532118,0,0,4.15,20,,0,44.8,3.4,0,1
